Year,Pillar,Value
2022,Pillar 1: Data Use,100.0
2022,Pillar 2: Data Services,92.6
2022,Pillar 3: Data Products,83.6875
2022,Pillar 4: Data Sources,88.325
2022,Pillar 5: Data Infrastructure,100.0
2022,SPI Overall Score,92.9225
2021,Pillar 1: Data Use,100.0
2021,Pillar 2: Data Services,93.06666667
2021,Pillar 3: Data Products,83.6875
2021,Pillar 4: Data Sources,90.35
2021,Pillar 5: Data Infrastructure,100.0
2021,SPI Overall Score,93.42083333
2020,Pillar 1: Data Use,100.0
2020,Pillar 2: Data Services,93.06666667
2020,Pillar 3: Data Products,67.1
2020,Pillar 4: Data Sources,82.01666667
2020,Pillar 5: Data Infrastructure,95.0
2020,SPI Overall Score,87.43666667
2019,Pillar 1: Data Use,100.0
2019,Pillar 2: Data Services,93.2
2019,Pillar 3: Data Products,60.0125
2019,Pillar 4: Data Sources,84.11666667
2019,Pillar 5: Data Infrastructure,100.0
2019,SPI Overall Score,87.46583333
2018,Pillar 1: Data Use,100.0
2018,Pillar 2: Data Services,93.2
2018,Pillar 3: Data Products,60.5375
2018,Pillar 4: Data Sources,84.11666667
2018,Pillar 5: Data Infrastructure,95.0
2018,SPI Overall Score,86.57083333
2017,Pillar 1: Data Use,100.0
2017,Pillar 2: Data Services,95.23333333
2017,Pillar 3: Data Products,64.14375
2017,Pillar 4: Data Sources,77.86666667
2017,Pillar 5: Data Infrastructure,95.0
2017,SPI Overall Score,86.44875
2016,Pillar 1: Data Use,100.0
2016,Pillar 2: Data Services,95.1
2016,Pillar 3: Data Products,59.20625
2016,Pillar 4: Data Sources,82.09166667
2016,Pillar 5: Data Infrastructure,95.0
2016,SPI Overall Score,86.27958333
2015,Pillar 1: Data Use,80.0
2015,Pillar 2: Data Services,
2015,Pillar 3: Data Products,57.16875
2015,Pillar 4: Data Sources,
2015,Pillar 5: Data Infrastructure,
2015,SPI Overall Score,
2014,Pillar 1: Data Use,60.0
2014,Pillar 2: Data Services,
2014,Pillar 3: Data Products,50.56875
2014,Pillar 4: Data Sources,
2014,Pillar 5: Data Infrastructure,
2014,SPI Overall Score,
2013,Pillar 1: Data Use,60.0
2013,Pillar 2: Data Services,
2013,Pillar 3: Data Products,51.29375
2013,Pillar 4: Data Sources,
2013,Pillar 5: Data Infrastructure,
2013,SPI Overall Score,
2012,Pillar 1: Data Use,60.0
2012,Pillar 2: Data Services,
2012,Pillar 3: Data Products,51.34375
2012,Pillar 4: Data Sources,
2012,Pillar 5: Data Infrastructure,
2012,SPI Overall Score,
2011,Pillar 1: Data Use,60.0
2011,Pillar 2: Data Services,
2011,Pillar 3: Data Products,50.09375
2011,Pillar 4: Data Sources,
2011,Pillar 5: Data Infrastructure,
2011,SPI Overall Score,
2010,Pillar 1: Data Use,60.0
2010,Pillar 2: Data Services,
2010,Pillar 3: Data Products,49.7
2010,Pillar 4: Data Sources,
2010,Pillar 5: Data Infrastructure,
2010,SPI Overall Score,
2009,Pillar 1: Data Use,40.0
2009,Pillar 2: Data Services,
2009,Pillar 3: Data Products,49.9375
2009,Pillar 4: Data Sources,
2009,Pillar 5: Data Infrastructure,
2009,SPI Overall Score,
2008,Pillar 1: Data Use,40.0
2008,Pillar 2: Data Services,
2008,Pillar 3: Data Products,49.9375
2008,Pillar 4: Data Sources,
2008,Pillar 5: Data Infrastructure,
2008,SPI Overall Score,
2007,Pillar 1: Data Use,40.0
2007,Pillar 2: Data Services,
2007,Pillar 3: Data Products,49.70625
2007,Pillar 4: Data Sources,
2007,Pillar 5: Data Infrastructure,
2007,SPI Overall Score,
2006,Pillar 1: Data Use,40.0
2006,Pillar 2: Data Services,
2006,Pillar 3: Data Products,49.00625
2006,Pillar 4: Data Sources,
2006,Pillar 5: Data Infrastructure,
2006,SPI Overall Score,
2005,Pillar 1: Data Use,40.0
2005,Pillar 2: Data Services,
2005,Pillar 3: Data Products,48.85625
2005,Pillar 4: Data Sources,
2005,Pillar 5: Data Infrastructure,
2005,SPI Overall Score,
2004,Pillar 1: Data Use,40.0
2004,Pillar 2: Data Services,
2004,Pillar 3: Data Products,
2004,Pillar 4: Data Sources,
2004,Pillar 5: Data Infrastructure,
2004,SPI Overall Score,
