Year,Geography,Selected demographic characteristics,Gender,Value
2018,Canada,Total - age,Total - gender,19.38
2018,Canada,Total - age,Male gender,8.23
2018,Canada,Total - age,Female gender,30.24
2018,Canada,Total - age,Gender diverse,
2018,Canada,15 to 24 years,Total - gender,16.47
2018,Canada,15 to 24 years,Male gender,7.77
2018,Canada,15 to 24 years,Female gender,25.83
2018,Canada,15 to 24 years,Gender diverse,
2018,Canada,25 to 34 years,Total - gender,24.73
2018,Canada,25 to 34 years,Male gender,9.87
2018,Canada,25 to 34 years,Female gender,39.57
2018,Canada,25 to 34 years,Gender diverse,
2018,Canada,35 to 44 years,Total - gender,22.51
2018,Canada,35 to 44 years,Male gender,9.97
2018,Canada,35 to 44 years,Female gender,34.92
2018,Canada,35 to 44 years,Gender diverse,
2018,Canada,45 to 54 years,Total - gender,20.03
2018,Canada,45 to 54 years,Male gender,8.61
2018,Canada,45 to 54 years,Female gender,31.33
2018,Canada,45 to 54 years,Gender diverse,
2018,Canada,55 years and over,Total - gender,16.44
2018,Canada,55 years and over,Male gender,6.67
2018,Canada,55 years and over,Female gender,25.34
2018,Canada,55 years and over,Gender diverse,
2018,Canada,Total - immigrant status,Total - gender,19.38
2018,Canada,Total - immigrant status,Male gender,8.23
2018,Canada,Total - immigrant status,Female gender,30.24
2018,Canada,Total - immigrant status,Gender diverse,
2018,Canada,Non-immigrants,Total - gender,21.84
2018,Canada,Non-immigrants,Male gender,9.09
2018,Canada,Non-immigrants,Female gender,33.64
2018,Canada,Non-immigrants,Gender diverse,
2018,Canada,Immigrants,Total - gender,12.42
2018,Canada,Immigrants,Male gender,5.98
2018,Canada,Immigrants,Female gender,19.68
2018,Canada,Immigrants,Gender diverse,
2018,Canada,Not stated - immigrant status,Total - gender,10.86
2018,Canada,Not stated - immigrant status,Male gender,
2018,Canada,Not stated - immigrant status,Female gender,12.98
2018,Canada,Not stated - immigrant status,Gender diverse,
2018,Canada,Total - visible minority population,Total - gender,19.38
2018,Canada,Total - visible minority population,Male gender,8.23
2018,Canada,Total - visible minority population,Female gender,30.24
2018,Canada,Total - visible minority population,Gender diverse,
2018,Canada,Visible minority population,Total - gender,11.89
2018,Canada,Visible minority population,Male gender,5.88
