Year,Geography,data.Educational attainment level,Age group,Sex,Value
2010,,,,,50.0
2011,,,,,51.0
2012,,,,,52.0
2013,,,,,53.0
2014,,,,,53.0
2015,,,,,55.0
2016,,,,,56.0
2017,,,,,56.0
2018,,,,,58.0
2019,,,,,59.0
2020,,,,,60.0
2010,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Male,45.0
2011,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Male,46.0
2012,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Male,47.0
2013,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Male,47.0
2014,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Male,48.0
2015,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Male,49.0
2016,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Male,50.0
2017,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Male,50.0
2018,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Male,51.0
2019,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Male,53.0
2020,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Male,53.0
2010,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Female,55.0
2011,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Female,56.0
2012,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Female,58.0
2013,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Female,59.0
2014,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Female,59.0
2015,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Female,61.0
2016,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Female,62.0
2017,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Female,63.0
2018,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Female,64.0
2019,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Female,65.0
2020,Canada,data.Tertiary education,"data.Total, 25 to 64 years",Female,66.0
2010,Canada,data.Tertiary education,25 to 34 years,Both sexes,57.0
2011,Canada,data.Tertiary education,25 to 34 years,Both sexes,57.0
2012,Canada,data.Tertiary education,25 to 34 years,Both sexes,57.0
2013,Canada,data.Tertiary education,25 to 34 years,Both sexes,58.0
2014,Canada,data.Tertiary education,25 to 34 years,Both sexes,58.0
2015,Canada,data.Tertiary education,25 to 34 years,Both sexes,59.0
2016,Canada,data.Tertiary education,25 to 34 years,Both sexes,61.0
2017,Canada,data.Tertiary education,25 to 34 years,Both sexes,61.0
2018,Canada,data.Tertiary education,25 to 34 years,Both sexes,62.0
