Year,Value,Units,Series
2016,26866.0,Number,Number of shelter users experiencing chronic homelessness
2017,28900.0,Number,Number of shelter users experiencing chronic homelessness
2018,27289.0,Number,Number of shelter users experiencing chronic homelessness
2019,29927.0,Number,Number of shelter users experiencing chronic homelessness
2020,28004.0,Number,Number of shelter users experiencing chronic homelessness
2021,28631.0,Number,Number of shelter users experiencing chronic homelessness
2022,31476.0,Number,Number of shelter users experiencing chronic homelessness
2017,7.570907467,Percentage,Percentage change in the number of shelter users experiencing chronic homelessness from the 2016 baseline
2018,1.574480756,Percentage,Percentage change in the number of shelter users experiencing chronic homelessness from the 2016 baseline
2019,11.39358297,Percentage,Percentage change in the number of shelter users experiencing chronic homelessness from the 2016 baseline
2020,4.235837118,Percentage,Percentage change in the number of shelter users experiencing chronic homelessness from the 2016 baseline
2021,6.569641927,Percentage,Percentage change in the number of shelter users experiencing chronic homelessness from the 2016 baseline
2022,17.15923472,Percentage,Percentage change in the number of shelter users experiencing chronic homelessness from the 2016 baseline
