Year,data.Geography,data.Selected diseases,data.Age,Value
2017,data.Alberta,data.Diphtheria,data.by 2 years of age,79.9
2021,data.Alberta,data.Diphtheria,data.by 2 years of age,74.6
2017,data.British Columbia,data.Diphtheria,data.by 2 years of age,76.6
2021,data.British Columbia,data.Diphtheria,data.by 2 years of age,83.6
2017,data.Canada,data.Diphtheria,data.by 2 years of age,75.8
2019,data.Canada,data.Diphtheria,data.by 2 years of age,77.5
2021,data.Canada,data.Diphtheria,data.by 2 years of age,77.1
2017,data.Manitoba,data.Diphtheria,data.by 2 years of age,67.5
2021,data.Manitoba,data.Diphtheria,data.by 2 years of age,75.5
2017,data.New Brunswick,data.Diphtheria,data.by 2 years of age,75.5
2021,data.New Brunswick,data.Diphtheria,data.by 2 years of age,78.1
2017,data.Newfoundland and Labrador,data.Diphtheria,data.by 2 years of age,88.9
2021,data.Newfoundland and Labrador,data.Diphtheria,data.by 2 years of age,80.0
2017,data.Northwest Territories,data.Diphtheria,data.by 2 years of age,76.7
2021,data.Northwest Territories,data.Diphtheria,data.by 2 years of age,66.0
2017,data.Nova Scotia,data.Diphtheria,data.by 2 years of age,73.8
2021,data.Nova Scotia,data.Diphtheria,data.by 2 years of age,70.3
2017,data.Nunavut,data.Diphtheria,data.by 2 years of age,63.8
2021,data.Nunavut,data.Diphtheria,data.by 2 years of age,24.1
2017,data.Ontario,data.Diphtheria,data.by 2 years of age,75.7
2021,data.Ontario,data.Diphtheria,data.by 2 years of age,76.7
2017,data.Prince Edward Island,data.Diphtheria,data.by 2 years of age,81.2
2021,data.Prince Edward Island,data.Diphtheria,data.by 2 years of age,95.8
2017,data.Quebec,data.Diphtheria,data.by 2 years of age,73.7
2021,data.Quebec,data.Diphtheria,data.by 2 years of age,76.2
2017,data.Saskatchewan,data.Diphtheria,data.by 2 years of age,78.6
2021,data.Saskatchewan,data.Diphtheria,data.by 2 years of age,80.9
2017,data.Yukon,data.Diphtheria,data.by 2 years of age,70.7
2021,data.Yukon,data.Diphtheria,data.by 2 years of age,66.6
2017,data.Canada,data.Diphtheria,data.by 7 years of age,80.5
2019,data.Canada,data.Diphtheria,data.by 7 years of age,78.1
2021,data.Canada,data.Diphtheria,data.by 7 years of age,71.9
2017,data.Canada,data.Diphtheria - Tetanus - acellular Pertussis (Tdap) booster,data.by 17 years of age,89.3
2019,data.Canada,data.Diphtheria - Tetanus - acellular Pertussis (Tdap) booster,data.by 17 years of age,95.3
2021,data.Canada,data.Diphtheria - Tetanus - acellular Pertussis (Tdap) booster,data.by 17 years of age,92.8
2017,data.Alberta,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,79.1
2021,data.Alberta,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,71.1
2017,data.British Columbia,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,74.4
2021,data.British Columbia,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,82.8
2017,data.Canada,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,73.4
2019,data.Canada,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,74.4
2021,data.Canada,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,75.3
2017,data.Manitoba,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,62.2
2021,data.Manitoba,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,75.3
2017,data.New Brunswick,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,74.7
2021,data.New Brunswick,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,75.9
2017,data.Newfoundland and Labrador,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,87.7
2021,data.Newfoundland and Labrador,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,76.8
2017,data.Northwest Territories,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,75.5
2021,data.Northwest Territories,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,60.0
2017,data.Nova Scotia,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,68.5
2021,data.Nova Scotia,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,66.8
2017,data.Nunavut,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,57.2
2021,data.Nunavut,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,24.1
2017,data.Ontario,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,72.9
2021,data.Ontario,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,73.8
2017,data.Prince Edward Island,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,79.8
2021,data.Prince Edward Island,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,95.8
