Year,data.Geography,GeoCode,Value
2015,data.Canada,,55750.10865
2016,data.Canada,,56094.26132
2017,data.Canada,,58575.10402
2018,data.Canada,,60317.54845
2019,data.Canada,,61468.5743
2020,data.Canada,,58015.93619
2015,data.Newfoundland and Labrador,10,59003.97071
2016,data.Newfoundland and Labrador,10,59534.28808
2017,data.Newfoundland and Labrador,10,63776.74165
2018,data.Newfoundland and Labrador,10,65813.60834
2019,data.Newfoundland and Labrador,10,67598.72914
2020,data.Newfoundland and Labrador,10,60571.88452
2015,data.Prince Edward Island,11,42118.08006
2016,data.Prince Edward Island,11,43383.29852
2017,data.Prince Edward Island,11,45145.67625
2018,data.Prince Edward Island,11,45522.69942
2019,data.Prince Edward Island,11,47287.81151
2020,data.Prince Edward Island,11,46538.44008
2015,data.Nova Scotia,12,43459.59798
2016,data.Nova Scotia,12,44123.29363
2017,data.Nova Scotia,12,45588.50152
2018,data.Nova Scotia,12,46822.53659
2019,data.Nova Scotia,12,47950.87416
2020,data.Nova Scotia,12,47713.13254
2015,data.New Brunswick,13,44084.27578
2016,data.New Brunswick,13,44972.81719
2017,data.New Brunswick,13,46734.95769
2018,data.New Brunswick,13,48238.28607
2019,data.New Brunswick,13,48940.45769
2020,data.New Brunswick,13,47950.47012
2015,data.Quebec,24,47419.46201
2016,data.Quebec,24,48532.38836
2017,data.Quebec,24,50430.11598
2018,data.Quebec,24,52332.62451
2019,data.Quebec,24,54125.11556
2020,data.Quebec,24,52347.31823
2015,data.Ontario,35,55477.38044
2016,data.Ontario,35,56989.30063
2017,data.Ontario,35,58633.31434
2018,data.Ontario,35,60110.57471
2019,data.Ontario,35,61343.71549
2020,data.Ontario,35,58792.68495
2015,data.Manitoba,46,51030.5078
2016,data.Manitoba,46,51210.71667
2017,data.Manitoba,46,53405.4046
2018,data.Manitoba,46,54236.13549
2019,data.Manitoba,46,53943.41708
2020,data.Manitoba,46,52764.35413
2015,data.Saskatchewan,47,71081.4859
2016,data.Saskatchewan,47,66632.80478
2017,data.Saskatchewan,47,69768.61442
2018,data.Saskatchewan,47,72021.32614
2019,data.Saskatchewan,47,71066.51804
2020,data.Saskatchewan,47,65999.32163
2015,data.Alberta,48,78189.09487
2016,data.Alberta,48,72518.96481
2017,data.Alberta,48,78341.93959
2018,data.Alberta,48,80534.63308
2019,data.Alberta,48,80546.21856
2020,data.Alberta,48,66700.46735
2015,data.British Columbia,59,52504.94725
2016,data.British Columbia,59,54311.26203
2017,data.British Columbia,59,57265.37028
2018,data.British Columbia,59,59354.04141
2019,data.British Columbia,59,61038.3615
2020,data.British Columbia,59,59961.87432
2015,data.Yukon,60,69938.97586
2016,data.Yukon,60,72353.23112
2017,data.Yukon,60,72784.65034
2018,data.Yukon,60,73866.58111
2019,data.Yukon,60,72578.69542
2020,data.Yukon,60,75449.32897
2015,data.Northwest Territories,61,106720.6185
2016,data.Northwest Territories,61,99666.28592
2017,data.Northwest Territories,61,103071.8852
2018,data.Northwest Territories,61,104666.4147
2019,data.Northwest Territories,61,101397.8256
2020,data.Northwest Territories,61,95256.98669
2015,data.Nunavut,62,66350.58101
2016,data.Nunavut,62,69830.96687
2017,data.Nunavut,62,80727.64076
2018,data.Nunavut,62,83055.8687
2019,data.Nunavut,62,89681.79934
2020,data.Nunavut,62,106244.4132
