Year,Geography,Fuel type,Demand characteristics,Unit of measure,Value
2015,Canada,Total primary and secondary energy,"Energy use, final demand",Terajoules,8246990.0
2016,Canada,Total primary and secondary energy,"Energy use, final demand",Terajoules,8155257.0
2017,Canada,Total primary and secondary energy,"Energy use, final demand",Terajoules,8472571.0
2018,Canada,Total primary and secondary energy,"Energy use, final demand",Terajoules,8852052.0
2019,Canada,Total primary and secondary energy,"Energy use, final demand",Terajoules,8882020.0
2015,Canada,Total primary and secondary energy,Total industrial,Terajoules,2715105.0
2016,Canada,Total primary and secondary energy,Total industrial,Terajoules,2665852.0
2017,Canada,Total primary and secondary energy,Total industrial,Terajoules,2782616.0
2018,Canada,Total primary and secondary energy,Total industrial,Terajoules,2943256.0
2019,Canada,Total primary and secondary energy,Total industrial,Terajoules,2969004.0
2015,Canada,Total primary and secondary energy,Total transportation,Terajoules,2690184.0
2016,Canada,Total primary and secondary energy,Total transportation,Terajoules,2685273.0
2017,Canada,Total primary and secondary energy,Total transportation,Terajoules,2723111.0
2018,Canada,Total primary and secondary energy,Total transportation,Terajoules,2835153.0
2019,Canada,Total primary and secondary energy,Total transportation,Terajoules,2859564.0
2015,Canada,Total primary and secondary energy,Agriculture,Terajoules,299012.0
2016,Canada,Total primary and secondary energy,Agriculture,Terajoules,301913.0
2017,Canada,Total primary and secondary energy,Agriculture,Terajoules,307916.0
2018,Canada,Total primary and secondary energy,Agriculture,Terajoules,319001.0
2019,Canada,Total primary and secondary energy,Agriculture,Terajoules,307901.0
2015,Canada,Total primary and secondary energy,Residential,Terajoules,1374039.0
2016,Canada,Total primary and secondary energy,Residential,Terajoules,1327994.0
2017,Canada,Total primary and secondary energy,Residential,Terajoules,1376349.0
2018,Canada,Total primary and secondary energy,Residential,Terajoules,1429611.0
2019,Canada,Total primary and secondary energy,Residential,Terajoules,1422090.0
2015,Canada,Total primary and secondary energy,Public administration,Terajoules,121943.0
2016,Canada,Total primary and secondary energy,Public administration,Terajoules,125669.0
