Year,data.Geography,data.Selected demographic characteristics,data.Gender,Value
2018,data.Canada,data.Total - age,data.Total - gender,19.38
2018,data.Canada,data.Total - age,data.Male gender,8.23
2018,data.Canada,data.Total - age,data.Female gender,30.24
2018,data.Canada,data.Total - age,data.Gender diverse,
2018,data.Canada,data.15 to 24 years,data.Total - gender,16.47
2018,data.Canada,data.15 to 24 years,data.Male gender,7.77
2018,data.Canada,data.15 to 24 years,data.Female gender,25.83
2018,data.Canada,data.15 to 24 years,data.Gender diverse,
2018,data.Canada,data.25 to 34 years,data.Total - gender,24.73
2018,data.Canada,data.25 to 34 years,data.Male gender,9.87
2018,data.Canada,data.25 to 34 years,data.Female gender,39.57
2018,data.Canada,data.25 to 34 years,data.Gender diverse,
2018,data.Canada,data.35 to 44 years,data.Total - gender,22.51
2018,data.Canada,data.35 to 44 years,data.Male gender,9.97
2018,data.Canada,data.35 to 44 years,data.Female gender,34.92
2018,data.Canada,data.35 to 44 years,data.Gender diverse,
2018,data.Canada,data.45 to 54 years,data.Total - gender,20.03
2018,data.Canada,data.45 to 54 years,data.Male gender,8.61
2018,data.Canada,data.45 to 54 years,data.Female gender,31.33
2018,data.Canada,data.45 to 54 years,data.Gender diverse,
2018,data.Canada,data.55 years and over,data.Total - gender,16.44
2018,data.Canada,data.55 years and over,data.Male gender,6.67
2018,data.Canada,data.55 years and over,data.Female gender,25.34
2018,data.Canada,data.55 years and over,data.Gender diverse,
2018,data.Canada,data.Total - immigrant status,data.Total - gender,19.38
2018,data.Canada,data.Total - immigrant status,data.Male gender,8.23
2018,data.Canada,data.Total - immigrant status,data.Female gender,30.24
2018,data.Canada,data.Total - immigrant status,data.Gender diverse,
2018,data.Canada,data.Non-immigrants,data.Total - gender,21.84
2018,data.Canada,data.Non-immigrants,data.Male gender,9.09
2018,data.Canada,data.Non-immigrants,data.Female gender,33.64
2018,data.Canada,data.Non-immigrants,data.Gender diverse,
2018,data.Canada,data.Immigrants,data.Total - gender,12.42
2018,data.Canada,data.Immigrants,data.Male gender,5.98
2018,data.Canada,data.Immigrants,data.Female gender,19.68
2018,data.Canada,data.Immigrants,data.Gender diverse,
2018,data.Canada,data.Not stated - immigrant status,data.Total - gender,10.86
2018,data.Canada,data.Not stated - immigrant status,data.Male gender,
2018,data.Canada,data.Not stated - immigrant status,data.Female gender,12.98
2018,data.Canada,data.Not stated - immigrant status,data.Gender diverse,
2018,data.Canada,data.Total - visible minority population,data.Total - gender,19.38
