Year,data.Geography,data.Age group,data.Sex,Value
,,,,72.4
,,,,70.9
,,,,70.3
,,,,68.6
,,,,67.1
data.Canada,"data.Total, 12 years and over",data.Males,74.5,
data.Canada,"data.Total, 12 years and over",data.Males,72.9,
data.Canada,"data.Total, 12 years and over",data.Males,72.7,
data.Canada,"data.Total, 12 years and over",data.Males,71.2,
data.Canada,"data.Total, 12 years and over",data.Males,69.7,
data.Canada,"data.Total, 12 years and over",data.Females,70.5,
data.Canada,"data.Total, 12 years and over",data.Females,68.9,
data.Canada,"data.Total, 12 years and over",data.Females,68.0,
data.Canada,"data.Total, 12 years and over",data.Females,66.1,
data.Canada,"data.Total, 12 years and over",data.Females,64.5,
data.Canada,data.12 to 17 years,data.Both sexes,77.9,
data.Canada,data.12 to 17 years,data.Both sexes,77.4,
data.Canada,data.12 to 17 years,data.Both sexes,76.0,
data.Canada,data.12 to 17 years,data.Both sexes,74.1,
data.Canada,data.12 to 17 years,data.Both sexes,73.0,
data.Canada,data.12 to 17 years,data.Males,80.2,
data.Canada,data.12 to 17 years,data.Males,79.1,
data.Canada,data.12 to 17 years,data.Males,79.6,
data.Canada,data.12 to 17 years,data.Males,78.5,
data.Canada,data.12 to 17 years,data.Males,79.0,
data.Canada,data.12 to 17 years,data.Females,75.6,
data.Canada,data.12 to 17 years,data.Females,75.5,
data.Canada,data.12 to 17 years,data.Females,72.2,
data.Canada,data.12 to 17 years,data.Females,69.5,
data.Canada,data.12 to 17 years,data.Females,66.7,
data.Canada,data.18 to 34 years,data.Both sexes,72.5,
data.Canada,data.18 to 34 years,data.Both sexes,69.8,
data.Canada,data.18 to 34 years,data.Both sexes,68.7,
data.Canada,data.18 to 34 years,data.Both sexes,64.0,
data.Canada,data.18 to 34 years,data.Both sexes,60.9,
data.Canada,data.18 to 34 years,data.Males,75.3,
data.Canada,data.18 to 34 years,data.Males,72.3,
data.Canada,data.18 to 34 years,data.Males,73.2,
data.Canada,data.18 to 34 years,data.Males,68.5,
data.Canada,data.18 to 34 years,data.Males,65.5,
data.Canada,data.18 to 34 years,data.Females,69.6,
data.Canada,data.18 to 34 years,data.Females,67.1,
data.Canada,data.18 to 34 years,data.Females,64.2,
data.Canada,data.18 to 34 years,data.Females,59.5,
data.Canada,data.18 to 34 years,data.Females,56.2,
data.Canada,data.35 to 49 years,data.Both sexes,72.4,
data.Canada,data.35 to 49 years,data.Both sexes,71.1,
data.Canada,data.35 to 49 years,data.Both sexes,69.9,
data.Canada,data.35 to 49 years,data.Both sexes,68.5,
data.Canada,data.35 to 49 years,data.Both sexes,66.6,
data.Canada,data.35 to 49 years,data.Males,74.3,
data.Canada,data.35 to 49 years,data.Males,74.5,
data.Canada,data.35 to 49 years,data.Males,71.5,
data.Canada,data.35 to 49 years,data.Males,71.6,
data.Canada,data.35 to 49 years,data.Males,69.3,
data.Canada,data.35 to 49 years,data.Females,70.6,
data.Canada,data.35 to 49 years,data.Females,67.8,
data.Canada,data.35 to 49 years,data.Females,68.2,
data.Canada,data.35 to 49 years,data.Females,65.5,
data.Canada,data.35 to 49 years,data.Females,63.9,
data.Canada,data.50 to 64 years,data.Both sexes,72.0,
data.Canada,data.50 to 64 years,data.Both sexes,70.4,
data.Canada,data.50 to 64 years,data.Both sexes,70.0,
data.Canada,data.50 to 64 years,data.Both sexes,69.4,
data.Canada,data.50 to 64 years,data.Both sexes,69.6,
data.Canada,data.50 to 64 years,data.Males,73.6,
data.Canada,data.50 to 64 years,data.Males,71.4,
data.Canada,data.50 to 64 years,data.Males,71.5,
data.Canada,data.50 to 64 years,data.Males,70.3,
data.Canada,data.50 to 64 years,data.Males,70.8,
data.Canada,data.50 to 64 years,data.Females,70.5,
data.Canada,data.50 to 64 years,data.Females,69.5,
data.Canada,data.50 to 64 years,data.Females,68.5,
data.Canada,data.50 to 64 years,data.Females,68.6,
data.Canada,data.50 to 64 years,data.Females,68.5,
data.Canada,data.65 years and over,data.Both sexes,70.5,
data.Canada,data.65 years and over,data.Both sexes,70.3,
data.Canada,data.65 years and over,data.Both sexes,71.4,
data.Canada,data.65 years and over,data.Both sexes,72.2,
data.Canada,data.65 years and over,data.Both sexes,70.8,
data.Canada,data.65 years and over,data.Males,71.9,
data.Canada,data.65 years and over,data.Males,71.2,
data.Canada,data.65 years and over,data.Males,72.3,
data.Canada,data.65 years and over,data.Males,73.2,
data.Canada,data.65 years and over,data.Males,71.4,
data.Canada,data.65 years and over,data.Females,69.4,
data.Canada,data.65 years and over,data.Females,69.5,
data.Canada,data.65 years and over,data.Females,70.6,
data.Canada,data.65 years and over,data.Females,71.3,
data.Canada,data.65 years and over,data.Females,70.3,
data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,71.6,
data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,70.3,
data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,69.1,
data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,69.2,
data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,68.7,
data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,73.7,
data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,71.0,
data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,70.5,
data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,72.3,
data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,69.8,
data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,69.7,
data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,69.6,
data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,67.8,
data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,66.3,
data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,67.7,
data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,83.7,
data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,70.8,
data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,71.4,
data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,78.9,
data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,73.4,
data.Newfoundland and Labrador,data.12 to 17 years,data.Males,89.1,
data.Newfoundland and Labrador,data.12 to 17 years,data.Males,80.7,
data.Newfoundland and Labrador,data.12 to 17 years,data.Males,70.3,
data.Newfoundland and Labrador,data.12 to 17 years,data.Males,83.4,
data.Newfoundland and Labrador,data.12 to 17 years,data.Males,72.7,
data.Newfoundland and Labrador,data.12 to 17 years,data.Females,77.7,
data.Newfoundland and Labrador,data.12 to 17 years,data.Females,60.9,
data.Newfoundland and Labrador,data.12 to 17 years,data.Females,72.5,
data.Newfoundland and Labrador,data.12 to 17 years,data.Females,73.7,
data.Newfoundland and Labrador,data.12 to 17 years,data.Females,74.1,
data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,66.7,
data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,69.5,
data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,66.3,
data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,67.6,
data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,63.5,
data.Newfoundland and Labrador,data.18 to 34 years,data.Males,69.4,
data.Newfoundland and Labrador,data.18 to 34 years,data.Males,78.4,
data.Newfoundland and Labrador,data.18 to 34 years,data.Males,72.8,
data.Newfoundland and Labrador,data.18 to 34 years,data.Males,68.4,
data.Newfoundland and Labrador,data.18 to 34 years,data.Males,60.5,
data.Newfoundland and Labrador,data.18 to 34 years,data.Females,64.1,
data.Newfoundland and Labrador,data.18 to 34 years,data.Females,60.4,
data.Newfoundland and Labrador,data.18 to 34 years,data.Females,59.5,
data.Newfoundland and Labrador,data.18 to 34 years,data.Females,66.8,
data.Newfoundland and Labrador,data.18 to 34 years,data.Females,66.5,
data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,72.8,
data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,69.7,
data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,68.3,
data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,70.9,
