Year,Géographie,GeoCode,Sexe,Groupe d'âge,Value
2015,Canada,,,,30.53
2015,Terre-Neuve-et-Labrador,10,,,36.33
2015,Île-du-Prince-Édouard,11,,,41.83
2015,Nouvelle-Écosse,12,,,38.65
2015,Nouveau-Brunswick,13,,,40.61
2015,Québec,24,,,32.16
2015,Ontario,35,,,31.78
2015,Manitoba,46,,,34.01
2015,Saskatchewan,47,,,25.37
2015,Alberta,48,,,21.74
2015,Colombie-Britannique,59,,,28.46
2015,Yukon,60,,,15.36
2015,Territoires du Nord-Ouest,61,,,12.38
2015,Nunavut,62,,,15.64
2015,Canada,,Total,Total,30.53
2015,Canada,,Total,15-24,73.3
2015,Canada,,Total,25-54,21.38
2015,Canada,,Total,55+,26.56
2015,Canada,,Homme,Total,25.41
2015,Canada,,Homme,15-24,68.81
2015,Canada,,Homme,25-54,16.4
2015,Canada,,Homme,55+,20.77
2015,Canada,,Femme,Total,35.79
2015,Canada,,Femme,15-24,77.81
2015,Canada,,Femme,25-54,26.48
2015,Canada,,Femme,55+,32.67
2016,Canada,,,,29.55
2016,Terre-Neuve-et-Labrador,10,,,36.5
2016,Île-du-Prince-Édouard,11,,,41.03
2016,Nouvelle-Écosse,12,,,36.75
2016,Nouveau-Brunswick,13,,,38.56
2016,Québec,24,,,30.52
2016,Ontario,35,,,30.69
2016,Manitoba,46,,,32.4
2016,Saskatchewan,47,,,24.2
2016,Alberta,48,,,21.88
2016,Colombie-Britannique,59,,,28.09
2016,Yukon,60,,,16.0
2016,Territoires du Nord-Ouest,61,,,11.05
2016,Nunavut,62,,,15.97
2016,Canada,,Total,Total,29.55
2016,Canada,,Total,15-24,72.82
2016,Canada,,Total,25-54,20.52
2016,Canada,,Total,55+,25.27
2016,Canada,,Homme,Total,25.05
2016,Canada,,Homme,15-24,68.59
2016,Canada,,Homme,25-54,16.04
2016,Canada,,Homme,55+,20.81
2016,Canada,,Femme,Total,34.12
2016,Canada,,Femme,15-24,77.04
2016,Canada,,Femme,25-54,25.05
2016,Canada,,Femme,55+,29.94
2017,Canada,,,,28.88
2017,Terre-Neuve-et-Labrador,10,,,34.14
2017,Île-du-Prince-Édouard,11,,,39.31
2017,Nouvelle-Écosse,12,,,35.94
2017,Nouveau-Brunswick,13,,,38.21
2017,Québec,24,,,28.82
2017,Ontario,35,,,30.69
2017,Manitoba,46,,,32.19
2017,Saskatchewan,47,,,24.11
2017,Alberta,48,,,21.11
2017,Colombie-Britannique,59,,,27.27
2017,Yukon,60,,,16.65
2017,Territoires du Nord-Ouest,61,,,9.92
2017,Nunavut,62,,,15.18
2017,Canada,,Total,Total,28.88
2017,Canada,,Total,15-24,72.41
2017,Canada,,Total,25-54,19.73
2017,Canada,,Total,55+,24.32
2017,Canada,,Homme,Total,24.22
2017,Canada,,Homme,15-24,67.96
2017,Canada,,Homme,25-54,15.27
2017,Canada,,Homme,55+,18.76
2017,Canada,,Femme,Total,33.66
2017,Canada,,Femme,15-24,76.97
2017,Canada,,Femme,25-54,24.27
2017,Canada,,Femme,55+,30.18
2018,Canada,,,,28.93
2018,Terre-Neuve-et-Labrador,10,,,34.31
2018,Île-du-Prince-Édouard,11,,,41.09
2018,Nouvelle-Écosse,12,,,38.09
2018,Nouveau-Brunswick,13,,,39.1
2018,Québec,24,,,29.83
2018,Ontario,35,,,29.46
2018,Manitoba,46,,,34.22
2018,Saskatchewan,47,,,25.71
2018,Alberta,48,,,21.01
