"Year","Geography","Education attainment level","Gender","Population characteristics","Age group","GeoCode","Value"
"2010","","","","","",,50
"2011","","","","","",,51
"2012","","","","","",,52
"2013","","","","","",,53
"2014","","","","","",,53
"2015","","","","","",,55
"2016","","","","","",,56
"2017","","","","","",,56
"2018","","","","","",,58
"2019","","","","","",,59
"2020","","","","","",,60
"2021","","","","","",,62
"2022","","","","","",,63
"2023","","","","","",,63
"2024","","","","","",,65
"2010","Canada","Tertiary education","Men+","Total population","Total, 25 to 64 years",,45
"2010","Canada","Tertiary education","Women+","Total population","Total, 25 to 64 years",,55
"2010","Canada","Tertiary education","Total - Gender","Total population","25 to 34 years",,57
"2010","Canada","Tertiary education","Men+","Total population","25 to 34 years",,49
"2010","Canada","Tertiary education","Women+","Total population","25 to 34 years",,64
"2010","Canada","Tertiary education","Total - Gender","Total population","30 to 34 years",,58
"2010","Canada","Tertiary education","Men+","Total population","30 to 34 years",,51
"2010","Canada","Tertiary education","Women+","Total population","30 to 34 years",,65
"2010","Canada","Tertiary education","Total - Gender","Total population","35 to 44 years",,56
"2010","Canada","Tertiary education","Men+","Total population","35 to 44 years",,50
"2010","Canada","Tertiary education","Women+","Total population","35 to 44 years",,63
"2010","Canada","Tertiary education","Total - Gender","Total population","45 to 54 years",,46
"2010","Canada","Tertiary education","Men+","Total population","45 to 54 years",,42
"2010","Canada","Tertiary education","Women+","Total population","45 to 54 years",,50
"2010","Canada","Tertiary education","Total - Gender","Total population","55 to 64 years",,42
"2010","Canada","Tertiary education","Men+","Total population","55 to 64 years",,41
"2010","Canada","Tertiary education","Women+","Total population","55 to 64 years",,43
"2010","Canada","Short-cycle tertiary","Total - Gender","Total population","Total, 25 to 64 years",,24
"2010","Canada","Short-cycle tertiary","Men+","Total population","Total, 25 to 64 years",,20
"2010","Canada","Short-cycle tertiary","Women+","Total population","Total, 25 to 64 years",,28
"2010","Canada","Short-cycle tertiary","Total - Gender","Total population","25 to 34 years",,26
"2010","Canada","Short-cycle tertiary","Men+","Total population","25 to 34 years",,22
"2010","Canada","Short-cycle tertiary","Women+","Total population","25 to 34 years",,29
"2010","Canada","Short-cycle tertiary","Total - Gender","Total population","30 to 34 years",,27
"2010","Canada","Short-cycle tertiary","Men+","Total population","30 to 34 years",,23
"2010","Canada","Short-cycle tertiary","Women+","Total population","30 to 34 years",,31
"2010","Canada","Short-cycle tertiary","Total - Gender","Total population","35 to 44 years",,26
"2010","Canada","Short-cycle tertiary","Men+","Total population","35 to 44 years",,22
"2010","Canada","Short-cycle tertiary","Women+","Total population","35 to 44 years",,30
"2010","Canada","Short-cycle tertiary","Total - Gender","Total population","45 to 54 years",,24
"2010","Canada","Short-cycle tertiary","Men+","Total population","45 to 54 years",,20
"2010","Canada","Short-cycle tertiary","Women+","Total population","45 to 54 years",,28
"2010","Canada","Short-cycle tertiary","Total - Gender","Total population","55 to 64 years",,20
"2010","Canada","Short-cycle tertiary","Men+","Total population","55 to 64 years",,17
"2010","Canada","Short-cycle tertiary","Women+","Total population","55 to 64 years",,24
"2010","Canada","Bachelor's level","Total - Gender","Total population","Total, 25 to 64 years",,18
"2010","Canada","Bachelor's level","Men+","Total population","Total, 25 to 64 years",,16
"2010","Canada","Bachelor's level","Women+","Total population","Total, 25 to 64 years",,19
"2010","Canada","Bachelor's level","Total - Gender","Total population","25 to 34 years",,23
"2010","Canada","Bachelor's level","Men+","Total population","25 to 34 years",,19
"2010","Canada","Bachelor's level","Women+","Total population","25 to 34 years",,26
"2010","Canada","Bachelor's level","Total - Gender","Total population","30 to 34 years",,22
"2010","Canada","Bachelor's level","Men+","Total population","30 to 34 years",,19
"2010","Canada","Bachelor's level","Women+","Total population","30 to 34 years",,25
"2010","Canada","Bachelor's level","Total - Gender","Total population","35 to 44 years",,21
"2010","Canada","Bachelor's level","Men+","Total population","35 to 44 years",,19
"2010","Canada","Bachelor's level","Women+","Total population","35 to 44 years",,23
"2010","Canada","Bachelor's level","Total - Gender","Total population","45 to 54 years",,15
"2010","Canada","Bachelor's level","Men+","Total population","45 to 54 years",,14
"2010","Canada","Bachelor's level","Women+","Total population","45 to 54 years",,15
"2010","Canada","Bachelor's level","Total - Gender","Total population","55 to 64 years",,13
"2010","Canada","Bachelor's level","Men+","Total population","55 to 64 years",,14
"2010","Canada","Bachelor's level","Women+","Total population","55 to 64 years",,13
"2010","Canada","Master's or Doctoral level","Total - Gender","Total population","Total, 25 to 64 years",,8
"2010","Canada","Master's or Doctoral level","Men+","Total population","Total, 25 to 64 years",,9
"2010","Canada","Master's or Doctoral level","Women+","Total population","Total, 25 to 64 years",,8
