"Year","Geography","Age group","Gender","GeoCode","Value"
"2015",,,,,12.5
"2015","Canada","Total, 15 years and over","Male",,10
"2015","Canada","Total, 15 years and over","Female",,15
"2015","Canada","15 to 24 years","Total, all persons",,5.4
"2015","Canada","15 to 24 years","Male",,4.6
"2015","Canada","15 to 24 years","Female",,6.7
"2015","Canada","25 to 54 years","Total, all persons",,13.3
"2015","Canada","25 to 54 years","Male",,10.4
"2015","Canada","25 to 54 years","Female",,16.3
"2015","Canada","25 to 34 years","Total, all persons",,12.1
"2015","Canada","25 to 34 years","Male",,7.9
"2015","Canada","25 to 34 years","Female",,15.8
"2015","Canada","35 to 44 years","Total, all persons",,15
"2015","Canada","35 to 44 years","Male",,11.7
"2015","Canada","35 to 44 years","Female",,17.9
"2015","Canada","45 to 54 years","Total, all persons",,13.3
"2015","Canada","45 to 54 years","Male",,11.3
"2015","Canada","45 to 54 years","Female",,15.4
"2015","Canada","55 to 64 years","Total, all persons",,14.2
"2015","Canada","55 to 64 years","Male",,12.1
"2015","Canada","55 to 64 years","Female",,16.3
"2015","Canada","65 years and over","Total, all persons",,15
"2015","Canada","65 years and over","Male",,13.3
"2015","Canada","65 years and over","Female",,16.7
"2015","Atlantic","Total, 15 years and over","Total, all persons",1,13.3
"2015","Atlantic","Total, 15 years and over","Male",1,11.3
"2015","Atlantic","Total, 15 years and over","Female",1,15.4
"2015","Atlantic","15 to 24 years","Total, all persons",1,5.8
"2015","Atlantic","15 to 24 years","Male",1,5.4
"2015","Atlantic","15 to 24 years","Female",1,6.3
"2015","Atlantic","25 to 54 years","Total, all persons",1,13.8
"2015","Atlantic","25 to 54 years","Male",1,11.3
"2015","Atlantic","25 to 54 years","Female",1,16.3
"2015","Atlantic","25 to 34 years","Total, all persons",1,12.5
"2015","Atlantic","25 to 34 years","Male",1,8.8
"2015","Atlantic","25 to 34 years","Female",1,15.8
"2015","Atlantic","35 to 44 years","Total, all persons",1,14.6
"2015","Atlantic","35 to 44 years","Male",1,12.5
"2015","Atlantic","35 to 44 years","Female",1,17.1
"2015","Atlantic","45 to 54 years","Total, all persons",1,14.2
"2015","Atlantic","45 to 54 years","Male",1,11.7
"2015","Atlantic","45 to 54 years","Female",1,16.3
"2015","Atlantic","55 to 64 years","Total, all persons",1,15.4
"2015","Atlantic","55 to 64 years","Male",1,13.3
"2015","Atlantic","55 to 64 years","Female",1,17.5
"2015","Atlantic","65 years and over","Total, all persons",1,15
"2015","Atlantic","65 years and over","Male",1,13.3
"2015","Atlantic","65 years and over","Female",1,16.7
"2015","Quebec","Total, 15 years and over","Total, all persons",24,12.5
"2015","Quebec","Total, 15 years and over","Male",24,10.4
"2015","Quebec","Total, 15 years and over","Female",24,14.6
"2015","Quebec","15 to 24 years","Total, all persons",24,5.4
"2015","Quebec","15 to 24 years","Male",24,4.6
"2015","Quebec","15 to 24 years","Female",24,5.8
"2015","Quebec","25 to 54 years","Total, all persons",24,13.3
"2015","Quebec","25 to 54 years","Male",24,10.8
"2015","Quebec","25 to 54 years","Female",24,15.8
"2015","Quebec","25 to 34 years","Total, all persons",24,12.1
"2015","Quebec","25 to 34 years","Male",24,8.8
"2015","Quebec","25 to 34 years","Female",24,15.8
"2015","Quebec","35 to 44 years","Total, all persons",24,15
"2015","Quebec","35 to 44 years","Male",24,12.9
"2015","Quebec","35 to 44 years","Female",24,17.1
"2015","Quebec","45 to 54 years","Total, all persons",24,12.5
"2015","Quebec","45 to 54 years","Male",24,10.8
"2015","Quebec","45 to 54 years","Female",24,14.6
"2015","Quebec","55 to 64 years","Total, all persons",24,13.8
"2015","Quebec","55 to 64 years","Male",24,11.7
"2015","Quebec","55 to 64 years","Female",24,15.8
"2015","Quebec","65 years and over","Total, all persons",24,14.2
"2015","Quebec","65 years and over","Male",24,11.7
"2015","Quebec","65 years and over","Female",24,16.3
"2015","Ontario","Total, 15 years and over","Total, all persons",35,12.5
"2015","Ontario","Total, 15 years and over","Male",35,10
"2015","Ontario","Total, 15 years and over","Female",35,15
"2015","Ontario","15 to 24 years","Total, all persons",35,5.4
"2015","Ontario","15 to 24 years","Male",35,4.6
