Year,Units,data.Geography,data.Fuel type,data.Demand characteristics,Value
2015,data.Terajoules,,,,8246990
2016,data.Terajoules,,,,8155257
2017,data.Terajoules,,,,8472571
2018,data.Terajoules,,,,8852052
2019,data.Terajoules,,,,8882020
2020,data.Terajoules,,,,7947788
2021,data.Terajoules,,,,8166974
2015,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total industrial,2715105
2016,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total industrial,2665852
2017,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total industrial,2782616
2018,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total industrial,2943256
2019,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total industrial,2969004
2015,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total transportation,2690184
2016,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total transportation,2685273
2017,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total transportation,2723111
2018,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total transportation,2835153
2019,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total transportation,2859564
2015,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Agriculture,299012
2016,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Agriculture,301913
2017,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Agriculture,307916
2018,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Agriculture,319001
2019,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Agriculture,307901
2015,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Residential,1374039
2016,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Residential,1327994
2017,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Residential,1376349
2018,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Residential,1429611
2019,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Residential,1422090
2015,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Public administration,121943
2016,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Public administration,125669
2017,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Public administration,130095
2018,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Public administration,134171
2019,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Public administration,134978
2015,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Commercial and other institutional,1048046
2016,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Commercial and other institutional,1048549
2017,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Commercial and other institutional,1148803
2018,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Commercial and other institutional,1185457
2019,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Commercial and other institutional,1212605
2015,data.Terajoules,data.Canada,data.Total coal,data.Energy use - final demand,46410
2016,data.Terajoules,data.Canada,data.Total coal,data.Energy use - final demand,40275
2017,data.Terajoules,data.Canada,data.Total coal,data.Energy use - final demand,39664
2018,data.Terajoules,data.Canada,data.Total coal,data.Energy use - final demand,38972
2019,data.Terajoules,data.Canada,data.Total coal,data.Energy use - final demand,39237
2015,data.Terajoules,data.Canada,data.Total coal,data.Total industrial,45006
2016,data.Terajoules,data.Canada,data.Total coal,data.Total industrial,
2017,data.Terajoules,data.Canada,data.Total coal,data.Total industrial,38411
2018,data.Terajoules,data.Canada,data.Total coal,data.Total industrial,37989
2019,data.Terajoules,data.Canada,data.Total coal,data.Total industrial,39237
2015,data.Terajoules,data.Canada,data.Total coal,data.Agriculture,
2016,data.Terajoules,data.Canada,data.Total coal,data.Agriculture,
2017,data.Terajoules,data.Canada,data.Total coal,data.Agriculture,
2018,data.Terajoules,data.Canada,data.Total coal,data.Agriculture,
2015,data.Terajoules,data.Canada,data.Total coal,data.Residential,55
2016,data.Terajoules,data.Canada,data.Total coal,data.Residential,
2017,data.Terajoules,data.Canada,data.Total coal,data.Residential,
2018,data.Terajoules,data.Canada,data.Total coal,data.Residential,0
2015,data.Terajoules,data.Canada,data.Total coal,data.Commercial and other institutional,
2016,data.Terajoules,data.Canada,data.Total coal,data.Commercial and other institutional,
2017,data.Terajoules,data.Canada,data.Total coal,data.Commercial and other institutional,
2018,data.Terajoules,data.Canada,data.Total coal,data.Commercial and other institutional,0
2019,data.Terajoules,data.Canada,data.Total coal,data.Commercial and other institutional,0
2015,data.Terajoules,data.Canada,data.Natural gas,data.Energy use - final demand,2875528
2016,data.Terajoules,data.Canada,data.Natural gas,data.Energy use - final demand,2785651
2017,data.Terajoules,data.Canada,data.Natural gas,data.Energy use - final demand,2939389
2018,data.Terajoules,data.Canada,data.Natural gas,data.Energy use - final demand,3146045
2019,data.Terajoules,data.Canada,data.Natural gas,data.Energy use - final demand,3170754
2015,data.Terajoules,data.Canada,data.Natural gas,data.Total industrial,1485959
2016,data.Terajoules,data.Canada,data.Natural gas,data.Total industrial,1414041
