Year,data.Select housing vulnerable populations,data.Living with housing problems,Value
2018,,,11.3
2021,,,9.8
2018,data.All households,data.Living in unaffordable housing,22
2018,data.All households,data.Living in unsuitable housing,4.9
2018,data.All households,data.Living in inadequate housing,7
2018,"data.Total, one-parent one-family households",data.Living in unaffordable housing,27
2018,"data.Total, one-parent one-family households",data.Living in unsuitable housing,9
2018,"data.Total, one-parent one-family households",data.Living in inadequate housing,11
2018,"data.Total, one-parent one-family households",data.Living in core housing need,21
2018,data.One-parent one-family households whose reference person is a man+,data.Living in unaffordable housing,25
2018,data.One-parent one-family households whose reference person is a man+,data.Living in unsuitable housing,7.9
2018,data.One-parent one-family households whose reference person is a man+,data.Living in inadequate housing,8.5
2018,data.One-parent one-family households whose reference person is a man+,data.Living in core housing need,16.1
2018,data.One-parent one-family households whose reference person is a woman+,data.Living in unaffordable housing,27
2018,data.One-parent one-family households whose reference person is a woman+,data.Living in unsuitable housing,9.4
2018,data.One-parent one-family households whose reference person is a woman+,data.Living in inadequate housing,11.9
2018,data.One-parent one-family households whose reference person is a woman+,data.Living in core housing need,23
2018,"data.Total, one-person households",data.Living in unaffordable housing,37
2018,"data.Total, one-person households",data.Living in inadequate housing,8.1
2018,"data.Total, one-person households",data.Living in core housing need,22
2018,data.Men+ living alone,data.Living in unaffordable housing,35
2018,data.Men+ living alone,data.Living in inadequate housing,8.2
2018,data.Men+ living alone,data.Living in core housing need,20
2018,data.Women+ living alone,data.Living in unaffordable housing,40
2018,data.Women+ living alone,data.Living in inadequate housing,8
2018,data.Women+ living alone,data.Living in core housing need,24
2018,data.Reference persons who have experienced homelessness,data.Living in unaffordable housing,38
2018,data.Reference persons who have experienced homelessness,data.Living in unsuitable housing,6.8
2018,data.Reference persons who have experienced homelessness,data.Living in inadequate housing,18.7
2018,data.Reference persons who have experienced homelessness,data.Living in core housing need,33
2021,data.All households,data.Living in unaffordable housing,19.5
2021,data.All households,data.Living in unsuitable housing,4.8
2021,data.All households,data.Living in inadequate housing,7.4
2021,"data.Total, one-parent one-family households",data.Living in unaffordable housing,24
2021,"data.Total, one-parent one-family households",data.Living in unsuitable housing,10.5
2021,"data.Total, one-parent one-family households",data.Living in inadequate housing,13
2021,"data.Total, one-parent one-family households",data.Living in core housing need,19.7
2021,data.One-parent one-family households whose reference person is a man+,data.Living in unaffordable housing,27
2021,data.One-parent one-family households whose reference person is a man+,data.Living in unsuitable housing,6.7
2021,data.One-parent one-family households whose reference person is a man+,data.Living in inadequate housing,11.5
2021,data.One-parent one-family households whose reference person is a man+,data.Living in core housing need,17.9
2021,data.One-parent one-family households whose reference person is a woman+,data.Living in unaffordable housing,23
2021,data.One-parent one-family households whose reference person is a woman+,data.Living in unsuitable housing,12
2021,data.One-parent one-family households whose reference person is a woman+,data.Living in inadequate housing,13.6
2021,data.One-parent one-family households whose reference person is a woman+,data.Living in core housing need,20
2021,"data.Total, one-person households",data.Living in unaffordable housing,34
2021,"data.Total, one-person households",data.Living in inadequate housing,7.9
2021,"data.Total, one-person households",data.Living in core housing need,19.4
2021,data.Men+ living alone,data.Living in unaffordable housing,32
2021,data.Men+ living alone,data.Living in inadequate housing,8.5
2021,data.Men+ living alone,data.Living in core housing need,17
2021,data.Women+ living alone,data.Living in unaffordable housing,36
2021,data.Women+ living alone,data.Living in inadequate housing,7.4
2021,data.Women+ living alone,data.Living in core housing need,21
2021,data.Reference persons who have experienced homelessness,data.Living in unaffordable housing,31
2021,data.Reference persons who have experienced homelessness,data.Living in unsuitable housing,7.1
2021,data.Reference persons who have experienced homelessness,data.Living in inadequate housing,24
2021,data.Reference persons who have experienced homelessness,data.Living in core housing need,27
