"Year","Geography","Core public infrastructure assets","Type of municipality by population size","GeoCode","Value"
"2016","Canada","Public transit assets","All municipalities","11124",17.1232876712329
"2016","Canada","Public transit assets","All urban municipalities","11124",23.6559139784946
"2016","Canada","Public transit assets","Urban municipalities, population 1 to 4,999","11124",20
"2016","Canada","Public transit assets","Urban municipalities, population 5,000 to 29,999","11124",15
"2016","Canada","Public transit assets","Urban municipalities, population 30,000 or more","11124",31.25
"2016","Canada","Public transit assets","All rural municipalities","11124",5.66037735849057
"2016","Canada","Public transit assets","Rural municipalities, population 1 to 4,999","11124",0
"2016","Canada","Public transit assets","Rural municipalities, population 5,000 or more","11124",13.3333333333333
"2016","Canada","Potable water assets","All municipalities","11124",29.4511378848728
"2016","Canada","Potable water assets","All urban municipalities","11124",32.4324324324324
"2016","Canada","Potable water assets","Urban municipalities, population 1 to 4,999","11124",22.1052631578947
"2016","Canada","Potable water assets","Urban municipalities, population 5,000 to 29,999","11124",36.0515021459227
"2016","Canada","Potable water assets","Urban municipalities, population 30,000 or more","11124",41.6666666666667
"2016","Canada","Potable water assets","All rural municipalities","11124",27.6119402985075
"2016","Canada","Potable water assets","Rural municipalities, population 1 to 4,999","11124",26.536312849162
"2016","Canada","Potable water assets","Rural municipalities, population 5,000 or more","11124",31.0810810810811
"2016","Canada","Stormwater assets","All municipalities","11124",51.1111111111111
"2016","Canada","Stormwater assets","All urban municipalities","11124",59.4178082191781
"2016","Canada","Stormwater assets","Urban municipalities, population 1 to 4,999","11124",37.9120879120879
"2016","Canada","Stormwater assets","Urban municipalities, population 5,000 to 29,999","11124",64.0316205533597
"2016","Canada","Stormwater assets","Urban municipalities, population 30,000 or more","11124",77.1812080536913
"2016","Canada","Stormwater assets","All rural municipalities","11124",45.4439252336449
"2016","Canada","Stormwater assets","Rural municipalities, population 1 to 4,999","11124",44.8717948717949
"2016","Canada","Stormwater assets","Rural municipalities, population 5,000 or more","11124",46.9827586206897
"2016","Canada","Wastewater assets","All municipalities","11124",35.3674540682415
"2016","Canada","Wastewater assets","All urban municipalities","11124",39.4415357766143
"2016","Canada","Wastewater assets","Urban municipalities, population 1 to 4,999","11124",28.2051282051282
"2016","Canada","Wastewater assets","Urban municipalities, population 5,000 to 29,999","11124",42.1487603305785
"2016","Canada","Wastewater assets","Urban municipalities, population 30,000 or more","11124",50.3649635036496
"2016","Canada","Wastewater assets","All rural municipalities","11124",33.0178759200841
"2016","Canada","Wastewater assets","Rural municipalities, population 1 to 4,999","11124",32.5997248968363
"2016","Canada","Wastewater assets","Rural municipalities, population 5,000 or more","11124",34.0807174887892
"2016","Canada","Solid waste assets","All municipalities","11124",15.2688172043011
"2016","Canada","Solid waste assets","All urban municipalities","11124",18.1818181818182
"2016","Canada","Solid waste assets","Urban municipalities, population 1 to 4,999","11124",11.7647058823529
"2016","Canada","Solid waste assets","Urban municipalities, population 5,000 to 29,999","11124",19.3798449612403
"2016","Canada","Solid waste assets","Urban municipalities, population 30,000 or more","11124",23.2323232323232
"2016","Canada","Solid waste assets","All rural municipalities","11124",13.6666666666667
"2016","Canada","Solid waste assets","Rural municipalities, population 1 to 4,999","11124",16.0997732426304
"2016","Canada","Solid waste assets","Rural municipalities, population 5,000 or more","11124",6.91823899371069
"2016","Canada","Roads","All municipalities","11124",40.0564971751412
"2016","Canada","Roads","All urban municipalities","11124",38.6196769456681
"2016","Canada","Roads","Urban municipalities, population 1 to 4,999","11124",36.0294117647059
"2016","Canada","Roads","Urban municipalities, population 5,000 to 29,999","11124",39.6153846153846
"2016","Canada","Roads","Urban municipalities, population 30,000 or more","11124",41.6107382550336
"2016","Canada","Roads","All rural municipalities","11124",40.8631772268136
"2016","Canada","Roads","Rural municipalities, population 1 to 4,999","11124",40.9796893667861
"2016","Canada","Roads","Rural municipalities, population 5,000 or more","11124",40.4761904761905
"2016","Canada","Bridges and tunnels","All municipalities","11124",28.4490960989534
"2016","Canada","Bridges and tunnels","All urban municipalities","11124",32.2195704057279
"2016","Canada","Bridges and tunnels","Urban municipalities, population 1 to 4,999","11124",30.2752293577982
"2016","Canada","Bridges and tunnels","Urban municipalities, population 5,000 to 29,999","11124",26.4705882352941
"2016","Canada","Bridges and tunnels","Urban municipalities, population 30,000 or more","11124",41.4285714285714
"2016","Canada","Bridges and tunnels","All rural municipalities","11124",25.9493670886076
"2016","Canada","Bridges and tunnels","Rural municipalities, population 1 to 4,999","11124",26.9315673289183
"2016","Canada","Bridges and tunnels","Rural municipalities, population 5,000 or more","11124",23.0337078651685
"2016","Canada","Social and affordable housing","All municipalities","11124",13.6986301369863
"2016","Canada","Social and affordable housing","All urban municipalities","11124",17.5
"2016","Canada","Social and affordable housing","Urban municipalities, population 1 to 4,999","11124",0
"2016","Canada","Social and affordable housing","Urban municipalities, population 5,000 to 29,999","11124",20
"2016","Canada","Social and affordable housing","Urban municipalities, population 30,000 or more","11124",19.3548387096774
"2016","Canada","Social and affordable housing","All rural municipalities","11124",9.09090909090909
"2016","Canada","Social and affordable housing","Rural municipalities, population 1 to 4,999","11124",13.6363636363636
"2016","Canada","Social and affordable housing","Rural municipalities, population 5,000 or more","11124",0
"2016","Canada","Culture, recreation and sports facilities","All municipalities","11124",22.0349187236604
"2016","Canada","Culture, recreation and sports facilities","All urban municipalities","11124",20.6349206349206
"2016","Canada","Culture, recreation and sports facilities","Urban municipalities, population 1 to 4,999","11124",16.3793103448276
"2016","Canada","Culture, recreation and sports facilities","Urban municipalities, population 5,000 to 29,999","11124",19.2
"2016","Canada","Culture, recreation and sports facilities","Urban municipalities, population 30,000 or more","11124",29.7297297297297
"2016","Canada","Culture, recreation and sports facilities","All rural municipalities","11124",22.8903976721629
"2016","Canada","Culture, recreation and sports facilities","Rural municipalities, population 1 to 4,999","11124",23.6775818639798
"2016","Canada","Culture, recreation and sports facilities","Rural municipalities, population 5,000 or more","11124",20.253164556962
