Year,Units,Geography,Type of event,GeoCode,Value
2016,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,,7.80
2016,data.Number,data.Canada,data.Apparent opioid toxicity deaths,,2830.00
2017,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,,10.70
2017,data.Number,data.Canada,data.Apparent opioid toxicity deaths,,3924.00
2018,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,,11.30
2018,data.Number,data.Canada,data.Apparent opioid toxicity deaths,,4201.00
2019,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,,9.90
2019,data.Number,data.Canada,data.Apparent opioid toxicity deaths,,3711.00
2020,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,,16.90
2020,data.Number,data.Canada,data.Apparent opioid toxicity deaths,,6423.00
2021,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,,20.90
2021,data.Number,data.Canada,data.Apparent opioid toxicity deaths,,8006.00
2016,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,59,16.60
2016,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,59,805.00
2017,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,59,26.30
2017,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,59,1296.00
2018,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,59,26.90
2018,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,59,1348.00
2019,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,59,20.00
2019,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,59,1020.00
2020,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,59,34.80
2020,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,59,1794.00
2021,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,59,44.80
2021,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,59,2333.00
2016,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,48,14.30
2016,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,48,602.00
2017,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,48,17.50
2017,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,48,744.00
2018,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,48,18.70
2018,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,48,805.00
2019,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,48,14.30
2019,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,48,626.00
2020,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,48,26.80
2020,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,48,1184.00
2021,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,48,36.50
2021,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,48,1621.00
2016,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,47,7.30
2016,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,47,83.00
2017,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,47,7.40
2017,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,47,85.00
2018,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,47,10.80
2018,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,47,126.00
2019,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,47,10.00
2019,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,47,117.00
2020,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,47,22.70
2020,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,47,268.00
2021,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,47,28.00
2021,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,47,331.00
2016,"data.Rate per 100,000 population",data.Manitoba,data.Apparent opioid toxicity deaths,46,6.70
2016,data.Number,data.Manitoba,data.Apparent opioid toxicity deaths,46,88.00
2017,"data.Rate per 100,000 population",data.Manitoba,data.Apparent opioid toxicity deaths,46,7.90
2017,data.Number,data.Manitoba,data.Apparent opioid toxicity deaths,46,106.00
2018,"data.Rate per 100,000 population",data.Manitoba,data.Apparent opioid toxicity deaths,46,6.90
2018,data.Number,data.Manitoba,data.Apparent opioid toxicity deaths,46,93.00
