Year,Institutions,Caractéristiques,Niveau de confiance,Value
2019,,,,41
2019,Police,Population totale,Une certaine confiance,49
2019,Police,Population totale,Très peu confiance ou aucune confiance,9
2019,Police,Homme,Une grande confiance,41
2019,Police,Homme,Une certaine confiance,49
2019,Police,Homme,Très peu confiance ou aucune confiance,10
2019,Police,Femme,Une grande confiance,42
2019,Police,Femme,Une certaine confiance,49
2019,Police,Femme,Très peu confiance ou aucune confiance,9
2019,Police,Autochtone,Une grande confiance,27
2019,Police,Autochtone,Une certaine confiance,55
2019,Police,Autochtone,Très peu confiance ou aucune confiance,16
2019,Police,Personne non autochtone,Une grande confiance,42
2019,Police,Personne non autochtone,Une certaine confiance,49
2019,Police,Personne non autochtone,Très peu confiance ou aucune confiance,9
2019,Police,Minorité visible,Une grande confiance,35
2019,Police,Minorité visible,Une certaine confiance,52
2019,Police,Minorité visible,Très peu confiance ou aucune confiance,13
2019,Police,N’appartenant pas à une minorité visible,Une grande confiance,44
2019,Police,N’appartenant pas à une minorité visible,Une certaine confiance,48
2019,Police,N’appartenant pas à une minorité visible,Très peu confiance ou aucune confiance,8
2020,Police,Noirs,data.Not confident   ,21
2020,Police,"Premières Nations, Métis ou Inuits",data.Not confident   ,22
2020,Police,Autres groupes désignés comme minorités visibles,data.Not confident   ,11
2020,Police,Non-Autochtones n’appartenant pas à une minorité visible,data.Not confident   ,11
2020,Police,Noirs,data.Confident   ,54
2020,Police,"Premières Nations, Métis ou Inuits",data.Confident   ,52
2020,Police,Autres groupes désignés comme minorités visibles,data.Confident   ,66
2020,Police,Non-Autochtones n’appartenant pas à une minorité visible,data.Confident   ,70
2020,Système de justice et tribunaux,Noirs,data.Not confident   ,16
2020,Système de justice et tribunaux,"Premières Nations, Métis ou Inuits",data.Not confident   ,30
2020,Système de justice et tribunaux,Autres groupes désignés comme minorités visibles,data.Not confident   ,10
2020,Système de justice et tribunaux,Non-Autochtones n’appartenant pas à une minorité visible,data.Not confident   ,16
2020,Système de justice et tribunaux,Noirs,data.Confident   ,54
2020,Système de justice et tribunaux,"Premières Nations, Métis ou Inuits",data.Confident   ,37
2020,Système de justice et tribunaux,Autres groupes désignés comme minorités visibles,data.Confident   ,68
2020,Système de justice et tribunaux,Non-Autochtones n’appartenant pas à une minorité visible,data.Confident   ,53
2020,Système scolaire,Noirs,data.Not confident   ,9
2020,Système scolaire,"Premières Nations, Métis ou Inuits",data.Not confident   ,20
2020,Système scolaire,Autres groupes désignés comme minorités visibles,data.Not confident   ,10
2020,Système scolaire,Non-Autochtones n’appartenant pas à une minorité visible,data.Not confident   ,11
2020,Système scolaire,Noirs,data.Confident   ,61
2020,Système scolaire,"Premières Nations, Métis ou Inuits",data.Confident   ,45
2020,Système scolaire,Autres groupes désignés comme minorités visibles,data.Confident   ,66
2020,Système scolaire,Non-Autochtones n’appartenant pas à une minorité visible,data.Confident   ,57
2020,Parlement fédéral,Noirs,data.Not confident   ,13
2020,Parlement fédéral,"Premières Nations, Métis ou Inuits",data.Not confident   ,31
2020,Parlement fédéral,Autres groupes désignés comme minorités visibles,data.Not confident   ,11
2020,Parlement fédéral,Non-Autochtones n’appartenant pas à une minorité visible,data.Not confident   ,21
2020,Parlement fédéral,Noirs,data.Confident   ,52
2020,Parlement fédéral,"Premières Nations, Métis ou Inuits",data.Confident   ,28
2020,Parlement fédéral,Autres groupes désignés comme minorités visibles,data.Confident   ,60
2020,Parlement fédéral,Non-Autochtones n’appartenant pas à une minorité visible,data.Confident   ,41
2020,Banques,Noirs,data.Not confident   ,15
2020,Banques,"Premières Nations, Métis ou Inuits",data.Not confident   ,22
2020,Banques,Autres groupes désignés comme minorités visibles,data.Not confident   ,10
2020,Banques,Non-Autochtones n’appartenant pas à une minorité visible,data.Not confident   ,17
2020,Banques,Noirs,data.Confident   ,57
2020,Banques,"Premières Nations, Métis ou Inuits",data.Confident   ,46
2020,Banques,Autres groupes désignés comme minorités visibles,data.Confident   ,63
2020,Banques,Non-Autochtones n’appartenant pas à une minorité visible,data.Confident   ,52
2020,Grandes sociétés,Noirs,data.Not confident   ,29
2020,Grandes sociétés,"Premières Nations, Métis ou Inuits",data.Not confident   ,38
2020,Grandes sociétés,Autres groupes désignés comme minorités visibles,data.Not confident   ,21
2020,Grandes sociétés,Non-Autochtones n’appartenant pas à une minorité visible,data.Not confident   ,32
2020,Grandes sociétés,Noirs,data.Confident   ,32
2020,Grandes sociétés,"Premières Nations, Métis ou Inuits",data.Confident   ,20
2020,Grandes sociétés,Autres groupes désignés comme minorités visibles,data.Confident   ,42
2020,Grandes sociétés,Non-Autochtones n’appartenant pas à une minorité visible,data.Confident   ,26
2020,Marchands locaux et gens d’affaires,Noirs,data.Not confident   ,14
2020,Marchands locaux et gens d’affaires,"Premières Nations, Métis ou Inuits",data.Not confident   ,11
2020,Marchands locaux et gens d’affaires,Autres groupes désignés comme minorités visibles,data.Not confident   ,8
2020,Marchands locaux et gens d’affaires,Non-Autochtones n’appartenant pas à une minorité visible,data.Not confident   ,5
2020,Marchands locaux et gens d’affaires,Noirs,data.Confident   ,54
2020,Marchands locaux et gens d’affaires,"Premières Nations, Métis ou Inuits",data.Confident   ,62
2020,Marchands locaux et gens d’affaires,Autres groupes désignés comme minorités visibles,data.Confident   ,57
2020,Marchands locaux et gens d’affaires,Non-Autochtones n’appartenant pas à une minorité visible,data.Confident   ,69
2020,Médias canadiens,Noirs,data.Not confident   ,15
2020,Médias canadiens,"Premières Nations, Métis ou Inuits",data.Not confident   ,32
2020,Médias canadiens,Autres groupes désignés comme minorités visibles,data.Not confident   ,14
2020,Médias canadiens,Non-Autochtones n’appartenant pas à une minorité visible,data.Not confident   ,22
2020,Médias canadiens,Noirs,data.Confident   ,47
2020,Médias canadiens,"Premières Nations, Métis ou Inuits",data.Confident   ,30
2020,Médias canadiens,Autres groupes désignés comme minorités visibles,data.Confident   ,47
2020,Médias canadiens,Non-Autochtones n’appartenant pas à une minorité visible,data.Confident   ,40
