Year,Geography,Disposition de vie,Niveau de sécurité alimentaire du ménage,Value
2015-2016,Canada,Total all living arrangements,Sécurité alimentaire,
2017-2018,Canada,Total all living arrangements,Sécurité alimentaire,87.3
2015-2016,Canada,Total all living arrangements,Food insecure marginal,
2017-2018,Canada,Total all living arrangements,Food insecure marginal,4.0
2015-2016,Canada,Total all living arrangements,Food insecure moderate and severe,
2017-2018,Canada,Total all living arrangements,Food insecure moderate and severe,8.7
2015-2016,Canada,Femme vivant seule,Sécurité alimentaire,
2017-2018,Canada,Femme vivant seule,Sécurité alimentaire,83.8
2015-2016,Canada,Femme vivant seule,Food insecure marginal,
2017-2018,Canada,Femme vivant seule,Food insecure marginal,4.1
2015-2016,Canada,Femme vivant seule,Food insecure moderate and severe,
2017-2018,Canada,Femme vivant seule,Food insecure moderate and severe,12.1
2015-2016,Canada,Homme vivant seul,Sécurité alimentaire,
2017-2018,Canada,Homme vivant seul,Sécurité alimentaire,83.3
2015-2016,Canada,Homme vivant seul,Food insecure marginal,
2017-2018,Canada,Homme vivant seul,Food insecure marginal,4.7
2015-2016,Canada,Homme vivant seul,Food insecure moderate and severe,
2017-2018,Canada,Homme vivant seul,Food insecure moderate and severe,12.0
2015-2016,Canada,Couple sans enfant,Sécurité alimentaire,
2017-2018,Canada,Couple sans enfant,Sécurité alimentaire,94.3
2015-2016,Canada,Couple sans enfant,Food insecure marginal,
2017-2018,Canada,Couple sans enfant,Food insecure marginal,2.3
2015-2016,Canada,Couple sans enfant,Food insecure moderate and severe,
2017-2018,Canada,Couple sans enfant,Food insecure moderate and severe,3.4
2015-2016,Canada,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Canada,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,88.2
2015-2016,Canada,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Canada,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,4.4
2015-2016,Canada,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Canada,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,7.3
2015-2016,Canada,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Canada,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,66.9
2015-2016,Canada,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Canada,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,8.0
2015-2016,Canada,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Canada,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,25.1
