Year,Géographie,Type of commute,Value
2016,Terre-Neuve-et-Labrador,Transport en commun,2.5
2016,Terre-Neuve-et-Labrador,Active transport,5.0
2016,"St. John's, Newfoundland and Labrador",Transport en commun,3.1
2016,"St. John's, Newfoundland and Labrador",Active transport,4.8
2016,Île-du-Prince-Édouard,Transport en commun,1.4
2016,Île-du-Prince-Édouard,Active transport,5.8
2016,Nouvelle-Écosse,Transport en commun,6.4
2016,Nouvelle-Écosse,Active transport,6.9
2016,"Halifax, Nova Scotia",Transport en commun,11.8
2016,"Halifax, Nova Scotia",Active transport,9.2
2016,Nouveau-Brunswick,Transport en commun,2.3
2016,Nouveau-Brunswick,Active transport,5.0
2016,"Moncton, New Brunswick",Transport en commun,3.4
2016,"Moncton, New Brunswick",Active transport,6.0
2016,"Saint John, New Brunswick",Transport en commun,4.1
2016,"Saint John, New Brunswick",Active transport,5.4
2016,Québec,Transport en commun,13.7
2016,Québec,Active transport,7.1
2016,"Montreal, Quebec",Transport en commun,22.3
2016,"Montreal, Quebec",Active transport,7.2
2016,"Ottawa - Gatineau (Quebec part), Quebec",Transport en commun,14.5
2016,"Ottawa - Gatineau (Quebec part), Quebec",Active transport,6.0
2016,"Quebec, Quebec",Transport en commun,11.1
2016,"Quebec, Quebec",Active transport,7.6
2016,"Saguenay, Quebec",Transport en commun,2.2
2016,"Saguenay, Quebec",Active transport,4.3
2016,"Sherbrooke, Quebec",Transport en commun,4.2
2016,"Sherbrooke, Quebec",Active transport,6.3
2016,"Trois-Rivieres, Quebec",Transport en commun,2.3
2016,"Trois-Rivieres, Quebec",Active transport,5.3
2016,Ontario,Transport en commun,14.6
2016,Ontario,Active transport,6.5
2016,"Barrie, Ontario",Transport en commun,4.3
2016,"Barrie, Ontario",Active transport,4.1
2016,"Belleville, Ontario",Transport en commun,2.3
2016,"Belleville, Ontario",Active transport,6.2
2016,"Brantford, Ontario",Transport en commun,3.1
2016,"Brantford, Ontario",Active transport,4.6
2016,"Greater Sudbury / Grand Sudbury, Ontario",Transport en commun,4.9
2016,"Greater Sudbury / Grand Sudbury, Ontario",Active transport,4.9
2016,"Guelph, Ontario",Transport en commun,6.4
2016,"Guelph, Ontario",Active transport,6.9
2016,"Hamilton, Ontario",Transport en commun,9.8
2016,"Hamilton, Ontario",Active transport,5.1
2016,"Kingston, Ontario",Transport en commun,6.8
2016,"Kingston, Ontario",Active transport,9.5
2016,"Kitchener - Cambridge - Waterloo, Ontario",Transport en commun,6.0
2016,"Kitchener - Cambridge - Waterloo, Ontario",Active transport,5.5
2016,"London, Ontario",Transport en commun,7.2
2016,"London, Ontario",Active transport,6.7
2016,"Oshawa, Ontario",Transport en commun,9.6
2016,"Oshawa, Ontario",Active transport,3.4
2016,"Ottawa - Gatineau (Ontario part), Ontario",Transport en commun,19.6
2016,"Ottawa - Gatineau (Ontario part), Ontario",Active transport,9.6
2016,"Peterborough, Ontario",Transport en commun,3.9
2016,"Peterborough, Ontario",Active transport,8.3
2016,"St. Catharines - Niagara, Ontario",Transport en commun,2.7
2016,"St. Catharines - Niagara, Ontario",Active transport,5.4
2016,"Thunder Bay, Ontario",Transport en commun,3.9
2016,"Thunder Bay, Ontario",Active transport,5.4
2016,"Toronto, Ontario",Transport en commun,24.3
2016,"Toronto, Ontario",Active transport,6.7
2016,"Windsor, Ontario",Transport en commun,3.4
2016,"Windsor, Ontario",Active transport,4.3
2016,Manitoba,Transport en commun,9.4
2016,Manitoba,Active transport,7.1
2016,"Winnipeg, Manitoba",Transport en commun,13.6
2016,"Winnipeg, Manitoba",Active transport,6.3
2016,Saskatchewan,Transport en commun,2.9
2016,Saskatchewan,Active transport,6.8
2016,"Regina, Saskatchewan",Transport en commun,5.1
2016,"Regina, Saskatchewan",Active transport,5.1
2016,"Saskatoon, Saskatchewan",Transport en commun,4.3
2016,"Saskatoon, Saskatchewan",Active transport,6.1
2016,Alberta,Transport en commun,10.1
2016,Alberta,Active transport,5.6
2016,"Calgary, Alberta",Transport en commun,14.4
2016,"Calgary, Alberta",Active transport,6.2
2016,"Edmonton, Alberta",Transport en commun,11.3
2016,"Edmonton, Alberta",Active transport,4.7
2016,"Lethbridge, Alberta",Transport en commun,2.9
2016,"Lethbridge, Alberta",Active transport,5.4
2016,Colombie-Britannique,Transport en commun,13.1
2016,Colombie-Britannique,Active transport,9.3
2016,"Abbotsford - Mission, British Columbia",Transport en commun,2.5
2016,"Abbotsford - Mission, British Columbia",Active transport,3.7
2016,"Kelowna, British Columbia",Transport en commun,3.9
2016,"Kelowna, British Columbia",Active transport,7.2
2016,"Vancouver, British Columbia",Transport en commun,20.4
2016,"Vancouver, British Columbia",Active transport,9.1
2016,"Victoria, British Columbia",Transport en commun,10.9
2016,"Victoria, British Columbia",Active transport,16.9
2016,Yukon,Transport en commun,3.9
2016,Yukon,Active transport,11.9
2016,Territoires du Nord-Ouest,Transport en commun,1.3
2016,Territoires du Nord-Ouest,Active transport,25.4
2016,Nunavut,Transport en commun,0.8
2016,Nunavut,Active transport,44.3
