Year,Géographie,Population centres,Value
2018,Colombie-Britannique,Major roads and highways,68.9
2018,Alberta,Major roads and highways,95.3
2018,Saskatchewan,Major roads and highways,98.4
2018,Manitoba,Major roads and highways,83.3
2018,Ontario,Major roads and highways,92.7
2018,Québec,Major roads and highways,88.6
2018,Nouveau-Brunswick,Major roads and highways,99.4
2018,Nouvelle-Écosse,Major roads and highways,98.1
2018,Île-du-Prince-Édouard,Major roads and highways,99.9
2018,Terre-Neuve-et-Labrador,Major roads and highways,64.7
2018,Yukon,Major roads and highways,34.7
2018,Territoires du Nord-Ouest,Major roads and highways,30.4
2018,Nunavut,Major roads and highways,
2018,Canada,Major roads and highways,87.2
2019,Colombie-Britannique,Major roads and highways,71.8
2019,Alberta,Major roads and highways,96.0
2019,Saskatchewan,Major roads and highways,98.8
2019,Manitoba,Major roads and highways,93.2
2019,Ontario,Major roads and highways,93.4
2019,Québec,Major roads and highways,89.3
2019,Nouveau-Brunswick,Major roads and highways,99.4
2019,Nouvelle-Écosse,Major roads and highways,98.3
2019,Île-du-Prince-Édouard,Major roads and highways,99.9
2019,Terre-Neuve-et-Labrador,Major roads and highways,66.5
2019,Yukon,Major roads and highways,34.9
2019,Territoires du Nord-Ouest,Major roads and highways,31.7
2019,Nunavut,Major roads and highways,
2019,Canada,Major roads and highways,88.8
2018,Colombie-Britannique,Urban centres,99.9
2018,Alberta,Urban centres,99.9
2018,Saskatchewan,Urban centres,99.9
2018,Manitoba,Urban centres,99.4
2018,Ontario,Urban centres,99.9
2018,Québec,Urban centres,99.9
2018,Nouveau-Brunswick,Urban centres,99.9
2018,Nouvelle-Écosse,Urban centres,99.9
2018,Île-du-Prince-Édouard,Urban centres,99.9
2018,Terre-Neuve-et-Labrador,Urban centres,99.9
2018,Yukon,Urban centres,99.9
2018,Territoires du Nord-Ouest,Urban centres,99.9
2018,Nunavut,Urban centres,93.2
2018,Canada,Urban centres,99.9
2019,Colombie-Britannique,Urban centres,99.9
2019,Alberta,Urban centres,99.9
2019,Saskatchewan,Urban centres,99.9
2019,Manitoba,Urban centres,99.7
2019,Ontario,Urban centres,99.9
2019,Québec,Urban centres,99.9
2019,Nouveau-Brunswick,Urban centres,99.9
2019,Nouvelle-Écosse,Urban centres,99.9
2019,Île-du-Prince-Édouard,Urban centres,99.9
2019,Terre-Neuve-et-Labrador,Urban centres,99.9
2019,Yukon,Urban centres,99.9
2019,Territoires du Nord-Ouest,Urban centres,99.9
2019,Nunavut,Urban centres,99.9
2019,Canada,Urban centres,99.9
2018,Colombie-Britannique,Rural communities,93.1
2018,Alberta,Rural communities,98.7
2018,Saskatchewan,Rural communities,98.9
2018,Manitoba,Rural communities,83.2
2018,Ontario,Rural communities,98.6
2018,Québec,Rural communities,97.6
2018,Nouveau-Brunswick,Rural communities,98.5
2018,Nouvelle-Écosse,Rural communities,98.8
2018,Île-du-Prince-Édouard,Rural communities,99.9
2018,Terre-Neuve-et-Labrador,Rural communities,88.1
2018,Yukon,Rural communities,88.5
2018,Territoires du Nord-Ouest,Rural communities,84.4
2018,Nunavut,Rural communities,40.2
2018,Canada,Rural communities,96.5
2019,Colombie-Britannique,Rural communities,94.4
2019,Alberta,Rural communities,98.9
2019,Saskatchewan,Rural communities,99.4
2019,Manitoba,Rural communities,89.1
2019,Ontario,Rural communities,98.8
2019,Québec,Rural communities,98.1
2019,Nouveau-Brunswick,Rural communities,98.9
2019,Nouvelle-Écosse,Rural communities,99.1
2019,Île-du-Prince-Édouard,Rural communities,99.9
2019,Terre-Neuve-et-Labrador,Rural communities,89.9
2019,Yukon,Rural communities,86.8
2019,Territoires du Nord-Ouest,Rural communities,84.4
2019,Nunavut,Rural communities,99.6
2019,Canada,Rural communities,97.4
