Year,Géographie,Centres de population,GeoCode,Value
2016,,,,84.3
2017,,,,84.1
2018,,,,85.5
2019,,,,87.4
2020,,,,89.7
2021,,,,91.4
2016,,Réserves des Premières Nations,,27.3
2017,,Réserves des Premières Nations,,27.7
2018,,Réserves des Premières Nations,,31.3
2019,,Réserves des Premières Nations,,34.8
2020,,Réserves des Premières Nations,,39.1
2021,,Réserves des Premières Nations,,43.3
2016,,data.First Nations reserves Urban centres,,73.0
2017,,data.First Nations reserves Urban centres,,73.0
2018,,data.First Nations reserves Urban centres,,75.6
2019,,data.First Nations reserves Urban centres,,80.7
2020,,data.First Nations reserves Urban centres,,84.2
2021,,data.First Nations reserves Urban centres,,81.8
2016,,data.First Nations reserves Rural areas,,14.2
2017,,data.First Nations reserves Rural areas,,14.8
2018,,data.First Nations reserves Rural areas,,18.7
2019,,data.First Nations reserves Rural areas,,21.7
2020,,data.First Nations reserves Rural areas,,26.2
2021,,data.First Nations reserves Rural areas,,32.3
2020,Nouveau-Brunswick,data.First Nations reserves Urban centres,13,100.0
2020,Colombie-Britannique,data.First Nations reserves Urban centres,59,99.48
2020,Québec,data.First Nations reserves Urban centres,24,80.53
2020,Nouvelle-Écosse,data.First Nations reserves Urban centres,12,75.49
2020,Saskatchewan,data.First Nations reserves Urban centres,47,6.56
2020,Ontario,data.First Nations reserves Urban centres,35,43.66
2020,Manitoba,data.First Nations reserves Urban centres,46,0.41
2021,Nouveau-Brunswick,data.First Nations reserves Urban centres,13,100.0
2021,Colombie-Britannique,data.First Nations reserves Urban centres,59,98.79
2021,Québec,data.First Nations reserves Urban centres,24,84.75
2021,Nouvelle-Écosse,data.First Nations reserves Urban centres,12,48.33
2021,Saskatchewan,data.First Nations reserves Urban centres,47,6.56
2021,Ontario,data.First Nations reserves Urban centres,35,5.78
2021,Manitoba,data.First Nations reserves Urban centres,46,0.0
2020,Île-du-Prince-Édouard,data.First Nations reserves Rural areas,11,50.38
2020,Nouveau-Brunswick,data.First Nations reserves Rural areas,13,96.52
2020,Territoires du Nord-Ouest,data.First Nations reserves Rural areas,61,74.89
2020,Québec,data.First Nations reserves Rural areas,24,52.44
2020,Colombie-Britannique,data.First Nations reserves Rural areas,59,46.1
2020,Nouvelle-Écosse,data.First Nations reserves Rural areas,12,62.95
2020,Ontario,data.First Nations reserves Rural areas,35,26.89
2020,Alberta,data.First Nations reserves Rural areas,48,17.13
2020,Terre-Neuve-et-Labrador,data.First Nations reserves Rural areas,10,0.0
2020,Manitoba,data.First Nations reserves Rural areas,46,4.46
2020,Saskatchewan,data.First Nations reserves Rural areas,47,3.82
2020,Yukon,data.First Nations reserves Rural areas,60,0.0
2021,Île-du-Prince-Édouard,data.First Nations reserves Rural areas,11,97.61
2021,Nouveau-Brunswick,data.First Nations reserves Rural areas,13,94.45
2021,Territoires du Nord-Ouest,data.First Nations reserves Rural areas,61,74.89
2021,Québec,data.First Nations reserves Rural areas,24,50.45
2021,Colombie-Britannique,data.First Nations reserves Rural areas,59,48.15
2021,Nouvelle-Écosse,data.First Nations reserves Rural areas,12,42.77
2021,Ontario,data.First Nations reserves Rural areas,35,35.13
2021,Alberta,data.First Nations reserves Rural areas,48,26.91
2021,Terre-Neuve-et-Labrador,data.First Nations reserves Rural areas,10,25.92
2021,Manitoba,data.First Nations reserves Rural areas,46,15.3
2021,Saskatchewan,data.First Nations reserves Rural areas,47,10.36
2021,Yukon,data.First Nations reserves Rural areas,60,0.0
2016,,Régions urbaines,,96.4
2017,,Régions urbaines,,96.6
2018,,Régions urbaines,,97.4
2019,,Régions urbaines,,98.6
2020,,Régions urbaines,,99.2
2021,,Régions urbaines,,99.2
2016,,Régions rurales,,38.9
2017,,Régions rurales,,37.2
2018,,Régions rurales,,40.7
2019,,Régions rurales,,45.6
2020,,Régions rurales,,54.4
2021,,Régions rurales,,62.0
2020,Terre-Neuve-et-Labrador,Régions urbaines,10,97.9
2020,Île-du-Prince-Édouard,Régions urbaines,11,100.0
2020,Nouvelle-Écosse,Régions urbaines,12,99.4
2020,Nouveau-Brunswick,Régions urbaines,13,99.9
2020,Québec,Régions urbaines,24,99.7
2020,Ontario,Régions urbaines,35,99.2
2020,Manitoba,Régions urbaines,46,98.5
2020,Saskatchewan,Régions urbaines,47,98.3
2020,Alberta,Régions urbaines,48,98.5
2020,Colombie-Britannique,Régions urbaines,59,99.5
2020,Yukon,Régions urbaines,60,99.2
2020,Territoires du Nord-Ouest,Régions urbaines,61,84.8
2020,Nunavut,Régions urbaines,62,
2021,Terre-Neuve-et-Labrador,Régions urbaines,10,98.2
2021,Île-du-Prince-Édouard,Régions urbaines,11,100.0
2021,Nouvelle-Écosse,Régions urbaines,12,99.3
2021,Nouveau-Brunswick,Régions urbaines,13,99.9
2021,Québec,Régions urbaines,24,99.7
2021,Ontario,Régions urbaines,35,99.2
2021,Manitoba,Régions urbaines,46,97.4
2021,Saskatchewan,Régions urbaines,47,99.0
2021,Alberta,Régions urbaines,48,98.7
2021,Colombie-Britannique,Régions urbaines,59,99.4
2021,Yukon,Régions urbaines,60,99.2
2021,Territoires du Nord-Ouest,Régions urbaines,61,97.9
2021,Nunavut,Régions urbaines,62,
2020,Terre-Neuve-et-Labrador,Régions rurales,10,48.8
2020,Île-du-Prince-Édouard,Régions rurales,11,64.2
2020,Nouvelle-Écosse,Régions rurales,12,58.4
2020,Nouveau-Brunswick,Régions rurales,13,85.8
2020,Québec,Régions rurales,24,73.4
2020,Ontario,Régions rurales,35,41.3
2020,Manitoba,Régions rurales,46,28.1
2020,Saskatchewan,Régions rurales,47,39.0
2020,Alberta,Régions rurales,48,33.7
2020,Colombie-Britannique,Régions rurales,59,63.2
2020,Yukon,Régions rurales,60,12.5
2020,Territoires du Nord-Ouest,Régions rurales,61,16.9
2020,Nunavut,Régions rurales,62,
2021,Terre-Neuve-et-Labrador,Régions rurales,10,54.0
2021,Île-du-Prince-Édouard,Régions rurales,11,79.1
